AC,CALI,DEN,GR,NEU,RDEP,RMED
98.7948,8.5714,2.1984,29.1719,31.574,0.53,0.6481
99.7175,8.5714,2.1885,30.3664,25.0667,0.5319,0.6182
101.6049,8.5714,2.1875,30.3934,25.4117,0.5205,0.6669
100.6462,8.5714,2.1916,31.3526,24.9281,0.5196,0.6622
101.6331,8.5714,2.1883,29.0902,29.544,0.5189,0.6526
101.6122,8.5724,2.1887,30.4389,26.7041,0.5171,0.637
99.4002,8.6167,2.199,28.1949,27.5589,0.5145,0.6027
95.88,8.5714,2.2077,28.7373,28.3654,0.506,0.593
95.7397,8.5714,2.2136,29.9594,24.7927,0.4942,0.5829
95.239,8.5714,2.2134,31.3526,26.5473,0.4955,0.5843
95.1487,8.5714,2.2029,30.3035,28.4499,0.4825,0.5852
94.6784,8.5714,2.2003,29.2904,22.9693,0.4783,0.5841
95.2369,8.5714,2.2087,29.632,27.2995,0.4679,0.5795
100.3125,8.5714,2.2125,32.5576,41.9166,0.4631,0.6035
97.8797,8.5714,2.2176,32.7164,29.0291,0.4607,0.5331
97.1483,8.4762,2.2188,36.698,33.2508,0.4647,0.5538
97.0361,8.4762,2.2138,42.418,37.8433,0.4723,0.5784
96.8713,8.4944,2.1721,38.7287,33.5164,0.4737,0.59
98.1449,8.5714,2.1299,37.0974,31.321,0.5056,0.5864
98.6966,8.4762,2.1452,34.3401,30.8668,0.5136,0.5841
99.7073,8.4762,2.1645,35.5486,34.0086,0.5149,0.5903
101.6289,8.4762,2.1762,36.29,27.2987,0.5124,0.5914
108.686,8.4762,2.1869,40.9977,26.0222,0.5135,0.5889
105.2483,8.4762,2.2042,39.0245,33.5815,0.5095,0.5828
103.1926,8.4762,2.2258,43.8816,36.7006,0.5015,0.584
103.4631,8.4762,2.2396,44.8456,38.3221,0.5089,0.5988
95.3593,8.3974,2.2679,42.9979,34.398,0.517,0.62
94.8456,8.4762,2.2997,48.6295,33.3403,0.5395,0.6377
90.5025,8.4762,2.306,49.5273,27.493,0.581,0.6587
91.1158,8.5117,2.291,63.5862,35.5852,0.6389,0.6942
98.9978,8.9943,2.268,65.6936,56.7031,0.7024,0.7224
117.9673,9.1813,2.2557,69.5105,52.9758,0.7166,0.7697
122.8857,9.2381,2.2567,64.0403,91.1947,0.7454,0.7731
117.7884,8.5714,2.2555,61.5406,49.1988,0.7698,0.7692
114.0711,8.5714,2.2543,64.2661,58.8079,0.7742,0.7519
109.8597,8.5714,2.2491,60.5636,32.755,0.7768,0.803
98.8806,8.5714,2.2381,47.7242,35.6853,0.7802,0.8305
89.9891,8.5714,2.2262,39.4148,31.743,0.789,0.8681
87.2724,9.148,2.2189,42.9497,28.0362,0.8052,0.8646
91.1585,9.1153,2.2218,37.1537,27.3098,0.8171,0.8358
92.6627,8.5714,2.2228,31.3526,27.3441,0.8006,0.8289
93.8321,8.5714,2.216,31.8493,27.1308,0.7869,0.8278
95.4486,8.5648,2.2125,31.5393,33.593,0.7742,0.8269
95.2245,8.4762,2.2169,32.469,24.6472,0.7636,0.8257
95.8953,8.4857,2.2246,32.3378,31.6348,0.7526,0.8142
95.5279,8.5714,2.2277,32.0426,28.4125,0.724,0.7991
94.9747,8.5838,2.2314,31.6664,29.7807,0.6995,0.7747
95.7313,8.6667,2.2387,28.9252,26.3016,0.6708,0.7627
95.7389,8.6667,2.242,23.7211,27.9633,0.6514,0.7503
95.6548,8.6667,2.2377,27.7928,28.8297,0.6376,0.7313
96.3869,8.6667,2.2332,27.6418,21.5788,0.6248,0.717
96.8103,8.6667,2.2267,28.9789,25.9342,0.6062,0.7067
97.1055,8.6877,2.2166,28.1649,29.4375,0.5913,0.6971
97.278,8.832,2.2218,30.8794,31.3356,0.5853,0.6907
96.7893,8.9524,2.229,27.7728,24.7629,0.5747,0.6896
96.8334,8.8794,2.2248,27.0257,30.0741,0.573,0.6864
96.7514,8.8839,2.2221,25.9779,28.5306,0.5738,0.6805
96.9731,8.8765,2.218,25.9779,28.2374,0.5798,0.6752
96.9726,8.9524,2.2153,28.3274,31.728,0.6133,0.6921
96.9381,8.9524,2.2155,26.5994,27.0522,0.6389,0.6968
96.7126,8.9524,2.2132,30.218,26.351,0.656,0.7089
96.0516,9.034,2.2121,32.6332,23.3845,0.6692,0.7195
96.4046,8.9878,2.2084,30.3532,24.9435,0.678,0.7316
95.8378,9.0476,2.2036,30.2545,23.2958,0.6887,0.7441
95.8076,9.0476,2.2093,28.8502,24.5244,0.7088,0.7847
95.9569,9.0476,2.2202,29.6352,25.1629,0.7229,0.8245
95.5363,9.0476,2.2198,29.0288,24.0032,0.7392,0.8712
96.0178,9.0476,2.2204,30.2218,26.6552,0.7582,0.8695
96.0181,9.1429,2.2276,30.3899,24.293,0.7889,0.8941
98.665,9.1429,2.2347,34.8562,22.6177,0.8116,0.8968
103.4675,9.1898,2.2404,42.9595,25.6922,0.8393,0.9139
107.7714,9.2381,2.2469,50.2215,30.9261,0.8716,0.9713
110.8737,9.2879,2.2685,55.4561,35.6904,0.9028,1.001
109.8407,9.337,2.3034,53.7131,35.7533,0.9319,1.0083
111.6803,9.4286,2.3293,56.8171,48.6267,1.0311,1.045
118.45,9.4416,2.3252,68.2397,76.6063,1.1017,1.0461
115.9238,10.3972,2.3257,63.9771,55.3948,1.1347,1.0804
115.76,9.6567,2.3486,63.7007,42.3934,1.1512,1.057
113.0831,10.0,2.3677,59.1841,30.5617,1.1302,1.1482
115.4955,10.0,2.3752,63.2545,32.4268,1.1231,1.1622
114.1082,10.0613,2.3764,60.9137,24.5761,1.1593,1.2049
112.5155,10.2208,2.3776,58.2263,48.4207,1.2157,1.2939
107.8616,10.381,2.3834,50.3738,46.5166,1.2974,1.3655
106.8768,9.8637,2.427,48.7121,39.3078,1.366,1.304
107.7375,10.6992,2.4748,50.1642,44.2197,1.3731,1.2542
110.8586,11.5909,2.4895,55.4305,44.5845,1.3097,1.2132
110.1749,10.1963,2.4657,54.277,35.6626,1.243,1.1742
110.1267,10.2143,2.4197,54.1956,61.5538,1.2011,1.0914
108.5498,10.5772,2.3424,51.5349,53.0962,1.1511,1.0111
112.8977,11.7677,2.2793,58.8711,52.533,1.0688,0.9767
110.8267,10.8444,2.2804,55.3767,53.2935,1.003,0.9418
115.9387,11.0411,2.3153,64.0023,59.5904,0.9447,0.9104
111.4785,11.7098,2.3092,56.4765,59.1657,0.9069,0.8678
105.9639,11.9372,2.2926,47.1717,54.8998,0.8513,0.8612
104.2509,11.674,2.3218,44.2813,59.1755,0.8145,0.854
105.8533,10.6282,2.3819,46.985,54.6657,0.7648,0.817
